ds,y,temp,humidity,wind_speed,wind_deg,rain,clouds,Holiday,inflation_rate,consumption_climate,cov_lock,unemp_Berlin_Mitte
2016-09-01,365.9,25.9,35,6.7,270,0.0,0,1,0.5,10.0,0,0.095
2016-09-02,358.6,22.18,46,4.63,280,0.0,75,1,0.5,10.0,0,0.095
2016-09-03,487.5,24.94,41,6.7,270,0.0,40,0,0.5,10.0,0,0.095
2016-09-04,90.9,19.94,73,6.7,230,0.0,75,0,0.5,10.0,0,0.095
2016-09-05,125.0,19.94,73,4.63,320,0.21,40,0,0.5,10.0,0,0.095
2016-09-06,231.9,21.94,56,2.6,140,0.0,20,0,0.5,10.0,0,0.095
2016-09-07,384.0,24.94,47,3.1,120,0.0,0,0,0.5,10.0,0,0.095
2016-09-08,425.9,27.94,42,5.14,160,0.0,0,0,0.5,10.0,0,0.095
2016-09-10,462.0,25.94,45,2.6,0,0.0,0,0,0.5,10.0,0,0.095
2016-09-11,858.3,27.94,48,3.1,290,0.0,20,0,0.5,10.0,0,0.095
2016-09-12,358.6,29.89,37,3.6,100,0.0,0,0,0.5,10.0,0,0.095
2016-09-13,462.7,30.84,30,6.7,120,0.0,0,0,0.5,10.0,0,0.095
2016-09-14,443.9,27.86,41,5.7,110,0.0,0,0,0.5,10.0,0,0.095
2016-09-15,361.7,24.89,37,4.12,90,0.0,0,0,0.5,10.0,0,0.095
2016-09-16,533.6,25.9,46,2.6,140,0.0,0,0,0.5,10.0,0,0.095
2016-09-18,253.4,19.94,46,7.2,50,0.0,20,0,0.5,10.0,0,0.095
2016-09-19,147.4,18.94,37,4.63,50,0.0,0,0,0.5,10.0,0,0.095
2016-09-20,217.1,17.94,39,2.6,0,0.0,0,0,0.5,10.0,0,0.095
2016-09-21,153.2,17.94,59,5.14,50,0.0,40,0,0.5,10.0,0,0.095
2016-09-22,240.5,18.94,32,2.6,180,0.0,0,0,0.5,10.0,0,0.095
2016-09-23,266.2,21.94,43,4.12,240,0.0,20,0,0.5,10.0,0,0.095
2016-09-24,435.8,18.94,48,3.1,270,0.0,75,0,0.5,10.0,0,0.095
2016-09-25,434.2,21.94,40,4.12,150,0.0,0,0,0.5,10.0,0,0.095
2016-09-26,257.9,19.94,46,2.6,100,0.0,0,0,0.5,10.0,0,0.095
2016-09-27,350.0,20.94,40,3.6,140,0.0,0,0,0.5,10.0,0,0.095
2016-09-28,136.1,20.94,53,8.8,260,0.0,75,0,0.5,10.0,0,0.095
2016-09-29,247.4,24.94,30,8.8,220,0.0,0,0,0.5,10.0,0,0.095
2016-09-30,189.5,19.89,48,6.2,210,0.0,40,0,0.5,10.0,0,0.09300000000000001
2016-10-02,231.3,16.17,72,5.7,220,0.0,40,0,0.5,10.1,0,0.09300000000000001
2016-10-27,111.2,9.94,93,4.12,260,0.0,100,1,0.5,10.1,0,0.09300000000000001
2016-10-28,318.3,12.94,82,7.2,260,0.0,100,1,0.5,10.1,0,0.09300000000000001
2016-10-29,334.8,10.94,66,9.8,290,0.0,75,0,0.5,10.1,0,0.09300000000000001
2016-10-30,446.3,10.94,61,5.7,290,0.0,75,1,0.5,10.1,0,0.09300000000000001
2016-10-31,72.3,9.94,87,3.6,280,0.0,75,0,0.5,10.1,0,0.091
2016-11-01,208.8,10.94,87,4.63,240,0.29,75,0,0.5,9.7,0,0.091
2016-11-02,169.3,7.94,75,10.8,280,0.0,75,0,0.5,9.7,0,0.091
2016-11-03,260.6,4.94,80,3.6,280,0.0,75,0,0.5,9.7,0,0.091
2016-11-04,391.0,7.94,75,4.63,210,0.0,100,0,0.5,9.7,0,0.091
2016-11-05,404.8,8.94,71,3.6,180,0.0,0,0,0.5,9.7,0,0.091
2016-11-06,307.7,6.94,87,3.1,240,0.11,75,0,0.5,9.7,0,0.091
2016-11-07,109.4,4.94,81,3.1,30,0.0,75,0,0.5,9.7,0,0.091
2016-11-08,183.6,4.94,87,4.12,140,0.1,75,0,0.5,9.7,0,0.091
2016-11-09,115.1,3.94,70,3.6,160,0.0,40,0,0.5,9.7,0,0.091
2016-11-10,153.6,1.94,80,2.6,30,0.0,0,0,0.5,9.7,0,0.091
2016-11-11,202.8,1.94,86,4.12,20,0.0,75,0,0.5,9.7,0,0.091
2016-11-12,236.7,2.94,65,3.6,120,0.0,20,0,0.5,9.7,0,0.091
2016-11-14,169.1,4.94,60,4.12,200,0.0,0,0,0.5,9.7,0,0.091
2016-11-15,121.7,1.94,100,6.2,200,0.68,75,0,0.5,9.7,0,0.091
2016-11-16,112.4,8.94,87,4.63,190,0.0,75,0,0.5,9.7,0,0.091
2016-11-17,194.7,9.94,87,6.7,210,0.61,75,0,0.5,9.7,0,0.091
2016-11-18,201.2,8.94,87,5.7,190,1.37,75,0,0.5,9.7,0,0.091
2016-11-19,417.6,7.94,81,4.12,160,0.0,75,0,0.5,9.7,0,0.091
2016-11-20,379.5,7.94,71,6.7,150,0.0,0,1,0.5,9.7,0,0.091
2016-11-21,199.0,12.94,62,4.63,130,0.0,0,0,0.5,9.7,0,0.091
2016-11-22,197.5,10.94,82,2.1,150,0.0,0,0,0.5,9.7,0,0.091
2016-11-23,177.3,11.94,71,1.54,180,0.0,0,0,0.5,9.7,0,0.091
2016-11-24,197.4,7.26,75,3.1,10,0.0,75,0,0.5,9.7,0,0.091
2016-11-25,234.1,2.94,100,1.54,90,0.0,100,0,0.5,9.7,0,0.091
2016-11-26,204.3,-0.06,100,4.63,220,0.0,100,0,0.5,9.7,0,0.091
2016-11-27,295.1,6.94,70,6.7,310,0.0,20,1,0.5,9.7,0,0.091
2016-11-28,70.0,1.94,64,5.14,340,0.0,40,0,0.5,9.7,0,0.091
2016-11-29,165.1,1.94,64,5.7,270,0.0,0,0,0.5,9.7,0,0.091
2016-12-01,116.4,6.94,93,9.8,280,0.12,75,0,0.5,9.8,0,0.091
2016-12-02,204.3,5.94,65,7.72,310,0.0,40,0,0.5,9.8,0,0.091
2016-12-03,223.7,2.94,75,2.6,290,0.0,0,0,0.5,9.8,0,0.091
2016-12-04,125.9,-1.06,100,1.54,260,0.0,75,1,0.5,9.8,0,0.091
2016-12-05,113.6,-2.06,100,1.54,200,0.0,20,0,0.5,9.8,0,0.091
2016-12-07,78.4,2.94,81,4.12,200,0.0,0,0,0.5,9.8,0,0.091
2016-12-08,309.9,9.94,62,8.23,260,0.0,75,0,0.5,9.8,0,0.091
2016-12-09,341.2,7.94,100,6.2,280,0.0,75,0,0.5,9.8,0,0.091
2016-12-10,473.4,9.94,76,7.72,280,0.0,75,0,0.5,9.8,0,0.091
2016-12-11,167.8,6.94,87,9.8,300,0.15,75,1,0.5,9.8,0,0.091
2016-12-12,99.0,3.94,56,5.14,90,0.0,20,0,0.5,9.8,0,0.091
2016-12-13,210.6,2.94,87,2.1,190,0.0,0,0,0.5,9.8,0,0.091
2016-12-14,101.4,4.94,87,4.63,350,0.0,75,0,0.5,9.8,0,0.091
2016-12-15,164.6,2.94,75,4.12,130,0.0,75,0,0.5,9.8,0,0.091
2016-12-16,186.2,2.94,75,4.63,160,0.0,0,0,0.5,9.8,0,0.091
2016-12-17,218.7,-1.06,100,2.6,260,0.0,100,0,0.5,9.8,0,0.091
2016-12-18,204.7,4.94,100,4.12,260,0.18,75,0,0.5,9.8,0,0.091
2016-12-19,170.2,4.94,93,1.54,130,0.0,75,0,0.5,9.8,0,0.091
2016-12-20,250.7,-0.06,93,4.63,110,0.0,75,0,0.5,9.8,0,0.091
2016-12-21,117.1,0.94,93,3.1,220,0.0,75,0,0.5,9.8,0,0.091
2016-12-22,154.7,1.94,87,3.6,220,0.0,75,0,0.5,9.8,0,0.091
2016-12-23,247.2,3.94,87,3.6,220,0.0,100,1,0.5,9.8,0,0.091
2016-12-24,87.0,5.94,93,5.14,230,0.0,75,1,0.5,9.8,0,0.091
2016-12-25,110.9,7.94,93,8.23,260,0.49,75,1,0.5,9.8,0,0.091
2016-12-27,202.8,6.94,70,11.83,300,0.0,75,1,0.5,9.8,0,0.091
2016-12-28,207.4,6.94,93,4.63,340,0.17,75,1,0.5,9.8,0,0.091
2016-12-29,317.9,4.94,75,4.12,260,0.0,75,1,0.5,9.8,0,0.091
2016-12-30,324.6,3.94,81,2.6,210,0.0,0,1,0.5,9.8,0,0.091
2016-12-31,84.5,2.94,70,5.7,260,0.0,0,1,0.5,9.8,0,0.092
2017-01-05,184.4,-2.06,54,7.2,10,0.0,40,0,1.5,9.7,0,0.092
2017-01-06,227.7,-3.06,68,2.6,290,0.0,20,0,1.5,9.7,0,0.092
2017-01-07,165.6,-4.06,63,5.7,190,0.0,75,0,1.5,9.7,0,0.092
2017-01-08,168.3,-2.06,93,1.54,70,0.0,75,0,1.5,9.7,0,0.092
2017-01-12,102.2,3.94,75,8.8,250,0.14,75,0,1.5,9.7,0,0.092
2017-01-13,225.1,0.94,100,6.7,260,0.0,75,0,1.5,9.7,0,0.092
2017-01-14,362.7,0.94,93,3.6,270,0.0,75,0,1.5,9.7,0,0.092
2017-01-15,277.2,0.94,93,6.2,290,0.0,75,0,1.5,9.7,0,0.092
2017-01-19,215.2,-2.06,80,3.1,220,0.0,0,0,1.5,9.7,0,0.092
2017-01-20,309.2,0.94,93,3.6,260,0.0,75,0,1.5,9.7,0,0.092
2017-01-21,484.5,2.94,87,3.1,260,0.0,75,0,1.5,9.7,0,0.092
2017-01-22,309.9,2.94,69,2.6,90,0.0,0,0,1.5,9.7,0,0.092
2017-01-26,219.3,1.94,75,4.63,130,0.0,75,0,1.5,9.7,0,0.092
2017-01-27,448.2,1.94,55,3.6,150,0.0,0,0,1.5,9.7,0,0.092
2017-01-28,576.5,-1.06,64,3.6,160,0.0,0,0,1.5,9.7,0,0.092
2017-01-29,399.1,5.94,52,4.12,180,0.0,0,0,1.5,9.7,0,0.092
2017-02-02,117.8,-0.06,80,3.6,130,0.0,75,1,1.5,9.8,0,0.09699999999999999
2017-02-03,371.7,1.94,93,4.63,130,0.84,75,1,1.5,9.8,0,0.09699999999999999
2017-02-04,345.2,3.94,100,3.1,130,0.0,40,1,1.5,9.8,0,0.09699999999999999
2017-02-05,304.0,2.94,93,2.1,100,0.0,75,0,1.5,9.8,0,0.09699999999999999
2017-02-09,138.7,-3.06,68,4.12,80,0.0,75,0,1.5,9.8,0,0.09699999999999999
2017-02-10,385.9,-1.06,64,6.2,80,0.0,0,0,1.5,9.8,0,0.09699999999999999
2017-02-11,423.9,-2.06,54,5.14,90,0.0,75,0,1.5,9.8,0,0.09699999999999999
2017-02-12,472.8,-1.06,64,5.14,80,0.0,75,0,1.5,9.8,0,0.09699999999999999
2017-02-16,510.8,10.38,57,4.6,270,0.0,20,0,1.5,9.8,0,0.09699999999999999
2017-02-17,525.9,5.18,93,4.1,260,0.41,75,0,1.5,9.8,0,0.09699999999999999
2017-02-18,756.1,4.16,93,4.1,270,0.0,75,0,1.5,9.8,0,0.09699999999999999
2017-02-19,595.9,6.13,70,5.7,210,0.0,0,0,1.5,9.8,0,0.09699999999999999
2017-02-23,316.7,5.94,93,3.6,170,1.17,100,0,1.5,9.8,0,0.09699999999999999
2017-02-24,655.7,2.94,75,7.2,310,0.0,75,0,1.5,9.8,0,0.09699999999999999
2017-02-25,986.8,4.94,70,6.2,240,0.0,75,0,1.5,9.8,0,0.09699999999999999
2017-02-26,795.9,8.94,66,6.7,220,0.0,75,0,1.5,9.8,0,0.09699999999999999
2017-03-01,298.3,6.94,66,5.7,220,0.12,75,1,1.5,10.1,0,0.096
2017-03-02,332.7,5.94,75,10.8,260,0.4,75,0,1.5,10.1,0,0.096
2017-03-03,749.6,10.94,46,6.2,190,0.0,0,0,1.5,10.1,0,0.096
2017-03-04,1429.4,15.94,39,3.6,140,0.0,0,0,1.5,10.1,0,0.096
2017-03-05,778.2,10.94,58,7.72,210,0.0,75,0,1.5,10.1,0,0.096
2017-03-08,396.9,9.94,57,6.2,190,0.0,75,0,1.5,10.1,0,0.096
2017-03-09,356.6,8.94,70,3.6,250,0.0,75,0,1.5,10.1,0,0.096
2017-03-10,673.0,7.94,75,6.7,310,0.0,75,0,1.5,10.1,0,0.096
2017-03-11,1004.2,6.94,75,2.1,350,0.0,100,0,1.5,10.1,0,0.096
2017-03-12,717.6,5.94,75,5.14,100,0.0,40,0,1.5,10.1,0,0.096
2017-03-15,415.2,11.94,44,7.72,290,0.0,20,0,1.5,10.1,0,0.096
2017-03-16,603.5,10.94,61,5.14,270,0.0,75,0,1.5,10.1,0,0.096
2017-03-17,733.3,8.94,71,6.2,280,0.19,75,0,1.5,10.1,0,0.096
2017-03-18,761.2,9.94,57,18.52,280,0.47,40,0,1.5,10.1,0,0.096
2017-03-19,436.0,3.94,86,4.63,170,0.96,75,0,1.5,10.1,0,0.096
2017-03-20,309.6,11.94,82,5.7,240,0.15,75,0,1.5,10.1,0,0.096
2017-03-21,414.8,10.94,71,5.7,250,0.76,75,0,1.5,10.1,0,0.096
2017-03-22,433.5,9.94,37,2.1,160,0.0,75,0,1.5,10.1,0,0.096
2017-03-23,336.8,6.94,87,4.12,60,0.74,75,0,1.5,10.1,0,0.096
2017-03-24,1157.7,11.94,35,3.6,0,0.0,0,0,1.5,10.1,0,0.096
2017-03-25,1110.8,11.94,30,6.2,290,0.0,0,0,1.5,10.1,0,0.096
2017-03-26,1222.0,11.94,40,2.1,0,0.0,40,0,1.5,10.1,0,0.096
2017-03-27,911.2,14.94,31,2.1,0,0.0,0,0,1.5,10.1,0,0.096
2017-03-28,1227.2,19.94,26,4.12,250,0.0,0,0,1.5,10.1,0,0.096
2017-03-29,300.0,11.94,76,9.8,260,0.0,75,0,1.5,10.1,0,0.096
2017-03-30,756.5,13.94,77,5.7,260,0.14,75,0,1.5,10.1,0,0.096
2017-03-31,1522.2,20.94,40,5.7,160,0.0,0,0,1.5,10.1,0,0.09300000000000001
2017-04-01,2212.5,21.94,32,3.1,270,0.0,0,0,1.5,9.8,0,0.09300000000000001
2017-04-02,1431.0,15.94,63,5.7,280,0.16,40,0,1.5,9.8,0,0.09300000000000001
2017-04-03,353.4,9.94,71,2.6,360,0.0,75,0,1.5,9.8,0,0.09300000000000001
2017-04-04,328.8,12.94,67,4.63,30,0.0,75,0,1.5,9.8,0,0.09300000000000001
2017-04-05,428.1,13.94,44,6.7,280,0.0,75,0,1.5,9.8,0,0.09300000000000001
2017-04-06,516.0,11.94,40,7.72,310,0.0,40,0,1.5,9.8,0,0.09300000000000001
2017-04-07,614.9,8.94,93,7.2,280,0.0,75,0,1.5,9.8,0,0.09300000000000001
2017-04-08,1559.3,12.94,58,5.14,290,0.0,40,0,1.5,9.8,0,0.09300000000000001
2017-04-09,1711.1,16.94,42,3.1,260,0.0,0,1,1.5,9.8,0,0.09300000000000001
2017-04-10,793.7,16.94,51,11.32,290,0.0,75,1,1.5,9.8,0,0.09300000000000001
2017-04-11,455.8,7.94,81,9.8,270,0.17,75,1,1.5,9.8,0,0.09300000000000001
2017-04-12,470.9,11.94,62,10.3,250,0.0,100,1,1.5,9.8,0,0.09300000000000001
2017-04-13,516.4,10.53,51,9.3,280,0.0,75,1,1.5,9.8,0,0.09300000000000001
2017-04-14,1343.7,12.94,47,6.7,250,0.0,75,1,1.5,9.8,0,0.09300000000000001
2017-04-15,708.1,9.94,87,6.7,240,0.17,75,1,1.5,9.8,0,0.09300000000000001
2017-04-16,572.9,6.94,76,5.7,280,0.27,75,1,1.5,9.8,0,0.09300000000000001
2017-04-17,737.7,6.94,61,5.14,300,0.27,75,1,1.5,9.8,0,0.09300000000000001
2017-04-18,353.8,6.94,57,5.7,40,0.13,75,1,1.5,9.8,0,0.09300000000000001
2017-04-19,399.5,5.94,61,7.2,10,0.0,40,0,1.5,9.8,0,0.09300000000000001
2017-04-20,390.1,7.94,39,3.6,0,0.0,0,0,1.5,9.8,0,0.09300000000000001
2017-04-21,734.8,13.94,62,8.23,270,0.0,75,0,1.5,9.8,0,0.09300000000000001
